HSF1
FKBP4
LHX3
TFE3
SP1
SP2
SP3
SP4
GATA6
GATA4
GATA5
GATA2
GATA3
GATA1
UBE4A
POU2AF1
MAX
MAZ
AHR
TCF12
HINFP
ARNTL
SOX10
SOX11
SOX12
SOX14
SOX15
ZIC2
NF1
NFIL3
NR1H4
GTF2I
NR1H2
NR1H3
FOXJ1
HOXB8
HOXB1
HOXB7
DSP
CUX1
PPARA
ZEB1
ARNT2
KCNH6
TFAP4
ZNF350
PRDM1
HES1
FOXC1
SMAD4
SMAD5
SMAD6
SMAD7
SMAD1
SMAD2
SMAD3
FOXM1
REL
SPI1
HIC1
NR2F1
NR2F2
CTF1
RXRG
RXRA
RXRB
SPIB
LEF1
ARID5B
LMO2
MYF5
MYF6
ERF
ERG
HAND1
HAND2
MITF
MYOG
HERPUD1
GFI1B
MYOD1
HNF1B
POU5F1B
PGR
CD40
REST
E4F1
POU1F1
E2F5
E2F4
E2F3
E2F2
E2F1
DEC1
FOXI1
RARA
RARB
RARG
NFE2L3
NFE2L1
ZNF238
HNF1A
FOXF1
FOXF2
RELA
ELSPBP1
WT1
RFX4
RFX5
RFX1
RFX2
RFX3
ELK3
ELK1
ELK4
DBP
FOXP3
NFATC2
NFATC3
NFATC4
CNTN2
ESRRA
RUNX2
RUNX1
UBP1
TCF4
TCF3
MAF
IRF3
IRF2
IRF1
IRF7
IRF6
IRF5
IRF4
TBP
IRF9
IRF8
MEF2A
CREM
PDX1
CLOCK
ONECUT2
ONECUT1
ATM
NHLH1
MXD1
ZBTB16
USF2
USF1
SOX21
ASCL1
FOXL1
EP300
ARNT
HOXA7
HOXA4
HOXA9
NRF1
NFYB
SOX8
SOX9
GTF2A1
GTF2A2
PITX2
SOX3
SOX4
SOX5
CEBPB
CEBPA
CEBPG
CEBPE
CEBPD
ALX1
RB1
ALX4
ETS2
ETS1
SOX18
CDC5L
ZBTB6
PPARG
PBX2
PBX3
PBX1
AIRE
TLX1
TLX2
BACH2
POU2F2
BACH1
POU2F1
BPTF
HSF2
EGR4
TOPORS
ZNF354C
BHLHE41
THRB
RORA
THRA
BRCA1
VSX2
CREB1
NKX2-5
PATZ1
SETD2
TCF7L2
FOXA1
RUNX3
FOXA3
FOXA2
CRX
FOXJ2
HIF1A
GCM1
EGR2
EGR3
EGR1
JUN
MEIS1
NFE2
MAFG
FOS
PAX5
PAX6
PAX1
E2F7
PAX3
PAX2
ZNF589
PKNOX1
TP53
ESR1
TFDP1
YY1
TBX5
ARNTL2
STAT6
STAT4
STAT3
STAT2
STAT1
PAX8
GTF2A1L
FOSL1
FOSL2
TAL1
TAL2
EFNA2
FOXD1
ESR2
SRY
IL10
NFYA
IL6
RAX
GABPA
FOXO3
SOX2
FOXO1
FOXO4
TEAD2
TEAD1
KLF12
TFAP2A
TFAP2C
TFAP2B
POU3F2
POU3F1
ZBTB7A
POU5F1
HLF
MZF1
CDX1
CDX2
MAFK
NKX2-2
MAFB
NKX2-1
MAFF
RREB1
MYC
MYB
DDIT3
FLI1
NKX6-2
NKX6-1
NR1I2
VDR
ZNF219
RFXANK
HOXC6
OTX1
OTX2
NR5A2
NR5A1
TFEB
APC
RFXAP
ETV4
HNF4G
HNF4A
NFATC1
FOSB
TP63
NR6A1
NFKB1
NFKB2
CUZD1
GABPB2
GABPB1
CASR
HMGA2
MTF1
SREBF2
STAT5B
STAT5A
SREBF1
NKX3-1
JUNB
JUND
TFF3
SRF
ELF2
ELF4
XBP1
GLI2
GLI3
GLI1
FOXO3B
NR3C1
MYCN
PLAU
FOXD3
POU4F1
AR
FOXN1
NFIC
GFI1
MXI1
ATF5
ATF4
ATF7
ATF6
ATF1
ATF3
ATF2
