ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	3.1821458885	3.1061091086	2.7321145954	3.0988936287	2.5713482787	3.1360869301
11736238_a_at	ABCA5	4.4728940218	4.688815654	4.4821912507	3.8233430627	4.573122638	4.369077039
11724734_at	ABCB8	3.0122864651	3.3205581667	3.1060431248	2.9833596677	2.9525206572	3.1045163005
11723976_at	ABCC8	3.8889233442	3.117692254	3.3739235961	3.6275861882	3.5439309223	3.4827419658
11718612_a_at	ABCD4	4.6363519773	4.373995789	4.7133585011	4.6954777839	4.6667643019	4.7209349267
11758217_s_at	ABHD17C	7.5436178004	7.6796212812	7.7243448974	7.6540741701	7.6624550439	7.5981212611
11744541_a_at	ACKR3	2.8977566458	2.7178013783	2.8963113222	2.895973978	3.0450011879	2.7602186857
11730931_at	ACSS3	2.4103735128	2.1407545553	2.040276928	2.4476442096	2.2413223063	2.2088536079
11738454_at	ACTBL2	2.997766974	2.4218747353	2.5626420638	2.5754125829	2.4010443504	2.8291407541
11727682_at	ACVR2B	3.3114810897	3.2965415597	3.1492322584	3.3280238313	3.0726087643	3.3092133237
11733762_a_at	ADAMTSL1	2.8176106742	2.729583078	2.9128537732	3.2011455403	3.255871481	2.9293317531
11756406_x_at	ADM	8.8303427874	9.0533895912	8.8353880097	8.818719559	8.8917194484	8.9220395058
11743232_a_at	AFDN	2.5582983248	2.8143959731	2.3514766651	3.1985522904	2.6013430684	2.6571424416
11743984_a_at	AKAP1	4.3314192041	4.3594032631	4.1104519045	4.4214586791	4.3859284672	4.1548951229
11723804_a_at	AKAP12	8.9773763381	9.0780364201	9.0221237595	9.0082113686	8.9821336124	8.9765284609
11716720_a_at	AKT1S1	4.0583607426	3.9718589071	3.885664837	4.4494831443	3.8692914924	3.7839075093
11733006_at	AMOTL2	4.7353780561	4.4845476785	4.7414707647	4.414623003	4.6959740614	4.3796424776
11719576_s_at	AMT	3.1208214244	3.2459096766	2.8335242767	3.0985492691	2.91771178	3.1252068233
11719577_a_at	AMT	4.4180846539	4.041313273	3.9314007816	4.4881093385	3.987547376	4.0264125368
11755899_x_at	ANKRD36B	3.5516179957	3.7451211892	3.8695631167	3.9082356757	3.8777553691	3.508525544
11755987_a_at	ANKRD44	2.4949991588	2.3206146824	2.5785159808	2.3703379219	2.3402060005	2.5432033017
11756425_a_at	ANKS1A	3.7986721669	3.4329454852	3.3218520832	3.6123188326	3.2814393337	3.5309628191
11727683_a_at	AP3B2	2.528952293	2.2257821443	2.1798577447	2.208556388	2.2027974352	2.3162343171
11734819_s_at	APBB2	5.7465526504	5.7938874424	6.0537861857	6.0727010694	5.7981433203	5.8973965037
11723975_x_at	APOL3	4.2081114014	4.0921779074	4.135673869	4.0614828539	4.4595673979	4.2680519497
11722736_s_at	APPL1	6.0077523994	6.2329598549	6.1512684524	5.9130925454	6.0649418059	5.9817262166
11733928_a_at	ARMC8	4.1402284341	4.566521297	4.3004552833	4.1658357217	4.1936631437	4.2120416267
11751585_a_at	ASB8	6.1555194127	6.4349147825	5.8857669044	6.1721224368	5.9631944598	6.0609819002
11716966_a_at	ATN1	3.4489027041	3.2831788184	3.3781268827	3.536784845	3.4881659265	3.7419359465
11716154_x_at	B4GALT1	5.4328950665	5.0821162091	5.4081137463	5.3172995021	5.2439579334	5.168177526
11753657_a_at	BACE1	4.2520773128	4.041313273	3.9411393537	4.1395090865	4.3281305535	4.2003506073
11719907_a_at	BCL7A	3.3984256324	3.7013608934	3.1869981785	3.055580287	3.4715537678	3.5206553441
11753436_a_at	BRF1	3.6866016902	3.3500895035	3.3987843776	3.1356550616	3.2265246807	3.4938813146
