ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.2936979399	2.5427941609	2.6437833376	2.7027241904	2.5674799534	2.8858655819
11736238_a_at	ABCA5	4.771066649	4.7149965625	4.8634576447	4.6631069009	4.5496216592	4.602315639
11724734_at	ABCB8	2.8179891105	2.8652604598	3.1844283796	2.8286125323	3.0124564246	2.9818588158
11723976_at	ABCC8	3.3396560517	2.9386630456	3.5453891007	3.5282035472	3.4530999429	3.3824897152
11718612_a_at	ABCD4	4.7372415513	4.7839269743	4.7410217475	4.869730374	4.9972166356	4.8973898548
11758217_s_at	ABHD17C	7.9146274399	8.0147676786	7.9073822216	7.8674318966	7.9919581032	7.8909912657
11744541_a_at	ACKR3	2.5107872956	2.5381592782	2.9094618607	2.486153634	2.7086043697	2.7119490648
11730931_at	ACSS3	2.0816571232	2.0228402079	2.1581019835	2.1326507404	2.6667276768	2.3466647004
11738454_at	ACTBL2	2.5403934763	2.2830976872	2.7804152999	2.7266508669	2.5239890931	2.6214481204
11727682_at	ACVR2B	3.6351507807	3.7459379548	3.585148458	3.6552226531	3.7466307634	3.6163440876
11733762_a_at	ADAMTSL1	3.2858787276	3.0688609295	2.6617976641	2.9943681259	2.7776018827	3.2047174485
11756406_x_at	ADM	10.708762584	10.7266436556	10.7020976679	10.6136220033	10.6470330124	10.6747565795
11743232_a_at	AFDN	2.382775138	2.1895747437	2.7308671768	2.4348321121	2.8533784104	2.5958466128
11743984_a_at	AKAP1	4.3326164568	4.5443020132	4.6332378169	4.4978868619	4.3486421759	4.5388268468
11723804_a_at	AKAP12	8.599608318	8.6896271635	8.5877212869	8.5201935651	8.4843006495	8.483342283
11716720_a_at	AKT1S1	4.1910128428	3.7116654469	4.0487370336	4.2301099018	3.9042175899	4.0569480467
11733006_at	AMOTL2	5.2582945787	4.8532850796	5.121319269	5.120558508	4.9984898311	5.0869937747
11719576_s_at	AMT	2.6090033512	2.7782770823	3.3825945896	2.8491392033	3.3512148006	3.0103518703
11719577_a_at	AMT	4.2194288104	4.2317018964	4.1157686704	4.2314686967	4.2526091955	4.3596837502
11755899_x_at	ANKRD36B	4.3414166121	4.5602811173	4.1461862808	4.0710037251	4.0796402546	4.3125383395
11755987_a_at	ANKRD44	2.4312833075	2.4540323909	2.3571985771	2.4299198236	2.064834316	2.1222102196
11756425_a_at	ANKS1A	3.0144113079	3.3350035774	3.4545048216	3.3800687001	3.2140157395	3.0748635638
11727683_a_at	AP3B2	1.8383763212	2.0999448135	2.1496860923	2.4962658613	2.3293268321	2.2836453822
11734819_s_at	APBB2	5.7724098792	5.7442956674	5.5755603541	5.7131199302	5.5924542606	5.9161809741
11723975_x_at	APOL3	3.9583437948	3.574738244	4.3010283924	4.5985421422	4.1148972789	4.4499345334
11722736_s_at	APPL1	6.2717475826	5.9431166189	6.2497459508	6.2620569194	6.364469968	6.2077305338
11733928_a_at	ARMC8	3.9819502027	4.2514412455	3.9305192946	4.0892252726	4.1500801602	4.2576137913
11751585_a_at	ASB8	6.2511549501	5.8791779766	6.4826589507	6.3549875535	6.3914174306	6.23475103
11716966_a_at	ATN1	3.0485129188	3.1646052805	3.6527363081	3.5770581412	3.6620909027	3.2492871261
11716154_x_at	B4GALT1	5.2510561315	5.3655259686	5.2902167742	5.0619105322	5.2063589362	5.3701278959
11753657_a_at	BACE1	3.5148436247	4.2674880924	4.1800800978	3.8924635237	3.4621952979	4.0518849552
11719907_a_at	BCL7A	2.7154535494	3.2271858183	3.0835312784	3.1182671879	2.7362637909	3.3190903696
11753436_a_at	BRF1	3.372524846	3.6680218189	3.6315426151	3.1123416281	2.9599274043	3.6335481158
11715613_a_at	BTG2	2.5361703704	2.4231010403	3.3578350096	3.2643295565	3.2631209791	3.0471451374
11720531_at	C9orf72	4.721667041	4.5958632013	4.2238752537	4.4604907603	4.4548491246	4.4099644361
11725936_a_at	CAMK2A	2.1506458653	2.2155448728	2.4195754224	2.3910153935	2.5791773914	2.1852954819
11758321_s_at	CASTOR2	2.7442220948	2.4768985546	3.2517269237	2.9937016456	2.9609772116	3.1842184754
11720081_a_at	CBX6	3.2606298806	3.5073542037	3.4435811402	2.9950514159	3.2606749446	3.0067091921
11744695_a_at	CCDC90B	8.289207754	8.1521327334	8.2593506217	8.0350246343	8.3443496086	8.1616078914
11748789_a_at	CCNJL	2.7816724427	2.8544235302	3.1795296306	3.0046320186	2.8402419319	3.3813890275
11733978_a_at	CD28	2.3831786484	2.4096958019	2.1472077074	2.2181310149	2.3063948737	2.2657255273
11724728_a_at	CD8A	2.9381439127	2.4254401824	2.6329208817	2.5291901832	2.6512694242	2.3636309029
11724729_a_at	CD8A	2.5872131092	2.4488544438	2.1923650314	2.4769383757	2.4364654	2.4820175819
11742224_a_at	CDC20B	2.6576642904	2.704869062	2.380399185	2.705809375	2.8063756278	2.5033035711
11756837_a_at	CLEC5A	2.2926997783	2.2355256466	2.2174190161	2.6819354063	2.4288844632	2.4979339262
11718178_a_at	CMTM4	6.1238763848	5.9594973251	5.8670767536	5.9554901958	5.9937133686	6.021594034
11715414_x_at	COL3A1	8.1930625639	7.9915080843	8.1532854676	7.9950331515	7.9071775924	8.1693041687
11721705_at	COL7A1	8.3849601729	8.3786677276	8.3245021313	8.384132473	8.284322207	8.3065061058
11758474_s_at	COLCA1	2.2290734882	2.1883703058	1.987564545	2.1026563082	2.4889148051	2.1266488032
11754666_a_at	CORO1A	4.629567516	5.0138460778	4.3470466098	4.6723757732	4.4649263477	4.4884698564
11740000_a_at	CPEB3	3.7423917883	3.6270539866	3.8334419353	3.6806394316	3.6283678858	4.1052968946
11726336_a_at	CRLS1	3.4474801407	2.623861271	2.8428292361	2.89809927	2.9728542579	2.5780623234
11743745_a_at	CSPP1	4.4560329675	4.6713174188	4.5493931486	4.1536054814	4.5512825707	4.4250568555
11723137_at	CTXN1	3.0308449155	2.8265956403	3.2237913819	3.5934472587	3.3563483722	3.2881054823
11734551_a_at	CX3CL1	2.8443593202	2.7379864295	3.2640190933	3.0852647334	3.1661169693	3.0546815635
11733003_a_at	CXCR1	2.6827351877	2.7142338655	2.5333377107	2.5127613395	2.4601770894	2.5217997151
11755109_a_at	CYFIP2	4.6720191832	4.6089911551	4.6855831045	4.9458567696	4.8758827067	4.647812914
11735386_a_at	DACT1	5.2586462032	4.4114045645	4.8463842736	5.2307426754	4.9287067635	5.1458946103
11729039_at	DCDC2	2.1871186421	2.4276517445	2.2420575875	2.6041360896	2.5133768337	2.5018450152
11755291_a_at	DENND2D	3.4306549731	3.140555074	3.5156549239	3.0834574761	2.9907523447	3.0738130817
11744701_a_at	DRD3	2.5641429169	2.588136784	2.654391754	2.6947146313	2.7932434261	2.6008684068
11728731_s_at	DSCC1	5.2985022862	5.339119204	5.2160394721	5.2642643362	5.6387083695	5.398667568
11721695_s_at	DUSP2	7.7169330583	7.6943844239	7.901113254	7.9365362638	7.7944338722	7.7362366035
11753617_a_at	DUSP3	5.3050739366	5.6524940079	5.9507924498	5.7218146188	5.6978502477	5.9019751785
11722049_a_at	DUSP6	6.739642657	6.8172433091	6.7661945671	6.7867423486	6.8030051784	6.7785142463
11751007_a_at	EDAR	2.5539902663	2.6698503676	2.4939645788	2.2897194059	2.6248246993	2.6945855214
11748584_a_at	EDC4	4.1410202161	4.1482581915	4.1256815515	4.1092789322	3.5321348788	4.1134171023
11724667_s_at	ENPP3	2.4211332847	2.2648915652	2.6913578464	2.1276731376	2.4200313951	2.3932739476
11715412_a_at	EPAS1	5.3550461098	5.3802181946	5.3992764341	5.3553540819	5.1431235664	5.3314207252
11727143_x_at	EPB41L3	5.3264219969	5.2581075527	5.4405788512	5.4840989972	5.1918032547	5.4216879004
11727657_at	EPHB1	2.54524502	3.0608521933	2.8285786128	3.0052512018	2.8558441071	2.944922707
11725354_at	EPM2AIP1	5.0951983387	5.0187078997	5.1118513697	5.0865874245	4.9914360593	4.7905113451
11725353_at	EPM2AIP1	4.679021039	4.830096167	4.7499704356	4.6131623074	4.6734599785	4.6826021926
11748581_a_at	EQTN	2.2106996008	2.5195153132	2.1365621683	2.1398075504	1.9072257377	2.1379103366
11721445_x_at	ERBB3	3.3123149278	3.3167184202	3.1021217132	3.3616011141	3.2044601066	3.2868717977
11721450_x_at	ETF1	8.0787035945	8.1203661032	8.0432300341	8.0890503823	7.9567882869	8.0288274296
11755733_a_at	F3	9.5693005963	9.4921808612	9.5051313778	9.5863489249	9.3911694246	9.4699763841
11740597_a_at	FAM161B	2.6809314303	2.889762128	2.5858882886	2.5608755946	2.5902426707	2.905806933
11741992_a_at	FAM170A	2.7478466986	2.9782228552	2.5976394868	2.7535111796	2.5316744633	3.0078894726
11732535_a_at	FANCD2	4.9322476489	4.9604221648	4.9290130331	5.0409165941	5.1924167199	5.0926524338
11725160_at	FBXW2	5.2613313056	4.9232728041	5.2162573362	4.9729787817	5.0252344925	5.2327059158
11751770_a_at	FER	4.8613565429	4.8963855225	4.6622395671	4.7548958527	5.1160533176	4.8377454989
11725155_at	FJX1	6.1454380845	6.260349976	5.9852696692	6.0999560735	6.1282909254	6.1368020605
11721751_s_at	FZD7	10.0240810254	10.0587535846	9.9468579826	9.9015235572	9.9406457013	9.9858121144
11735271_a_at	GCNT1	7.1695864528	7.2068348786	7.1156889042	7.1164491136	7.3252150578	7.251426851
11716208_s_at	GLUD1	7.1757576381	7.0675897298	6.9169085852	6.6936528017	6.83187261	7.0695924594
11717760_a_at	GMFG	2.806953033	2.6224867299	2.7162505603	2.9207586987	2.7988093178	2.7961111925
11725499_at	GOLGA7B	2.135693111	2.2506157119	2.2946822586	2.3976825937	2.5636125222	2.3485336955
11733977_a_at	HAUS5	4.7390650031	5.1245262003	4.7739408164	4.8529853214	5.035593788	5.0007396555
11716551_s_at	HES1	9.4096152183	9.509623093	9.5282371664	9.3822241283	9.5702337567	9.4855452657
11716550_at	HES1	9.8801698647	9.5339311708	9.7004193097	9.7886450449	9.6698339486	9.6845318659
11741604_x_at	HIVEP3	4.8562489124	4.7878493983	5.0133826537	5.1483753584	5.3255460953	5.0590958313
11753417_x_at	HLA-G	3.0372726065	2.8274919893	2.7390775531	2.9572812162	3.1623957247	2.7574152534
11727052_at	HOXB13	2.6770931982	2.2691600463	2.3459059348	2.3950246709	2.7815790153	2.4761561727
11737135_a_at	HOXC6	7.3885521067	7.3314267088	7.4586703336	7.5141704828	7.5327659946	7.5494972727
11729074_a_at	HYKK	3.4112411959	3.2318816812	3.4715900493	3.6976699092	3.1802924765	3.5001867688
11716006_a_at	HYOU1	4.5019100018	4.9582978494	4.6069924368	4.5728559258	4.3871335912	4.368563231
11741590_x_at	ICAM4	2.8630693922	2.8293277555	3.1224445629	3.5186745772	2.6959556835	3.1866869532
11716195_a_at	ID1	10.7201598069	10.5660925382	10.4946535648	10.7173826417	10.5946182723	10.5849562295
