Interactie,Interactors,MI
A1CF,ABCA5,0.11751387
A1CF,ABCB8,0.14574834
A1CF,ABCC8,0.14574834
A1CF,AFDN,0.11751387
A1CF,AKAP1,0.17756414
A1CF,AKT1S1,0.09219639
A1CF,ANKRD44,0.08590221
A1CF,AP3B2,0.14971969
A1CF,APBB2,0.14197354
A1CF,APOL3,0.11751387
A1CF,APPL1,0.0921589
A1CF,ATN1,0.09057609
A1CF,B4GALT1,0.1260778
A1CF,BACE1,0.22563548
A1CF,BRF1,0.14971969
A1CF,C9orf72,0.1043187
A1CF,CAMK2A,0.12514037
A1CF,CBX6,0.11751387
A1CF,CCNJL,0.19670927
A1CF,CD28,0.09057609
A1CF,CDC20B,0.19670927
A1CF,CMTM4,0.08590221
A1CF,COL3A1,0.08025668
A1CF,COL7A1,0.12514037
A1CF,CORO1A,0.12684889
A1CF,CSPP1,0.08025668
A1CF,DENND2D,0.22563548
A1CF,DSCC1,0.14574834
A1CF,DUSP3,0.1043187
A1CF,EDC4,0.08815181
A1CF,ENPP3,0.17084997
A1CF,EPM2AIP1,0.2061494
A1CF,EQTN,0.12866719
A1CF,ETF1,0.17756414
A1CF,F3,0.08025668
A1CF,FAM170A,0.07847439
A1CF,FJX1,0.16727492
A1CF,GLUD1,0.12684889
A1CF,HAUS5,0.12514037
A1CF,HES1,0.08595599
A1CF,HLA-G,0.12217771
A1CF,HYKK,0.1260778
A1CF,HYOU1,0.08025668
A1CF,ICAM4,0.17084997
A1CF,ID1,0.14197354
A1CF,INMT,0.1375739
A1CF,INPP5D,0.11751387
A1CF,IP6K1,0.14197354
A1CF,IPPK,0.17756414
A1CF,KIFC3,0.08595599
A1CF,KRTAP12-2,0.16727492
A1CF,LCMT2,0.07994476
A1CF,NAIP,0.15795847
A1CF,NEO1,0.14971969
A1CF,NIPAL4,0.09057609
A1CF,NUDT14,0.08254276
A1CF,NUDT6,0.08815181
A1CF,P2RX2,0.19680787
A1CF,PLEKHA6,0.13790726
A1CF,PMEPA1,0.09600695
A1CF,PMM2,0.09600695
A1CF,PPM1E,0.08595599
A1CF,PSPC1,0.17756414
A1CF,RCHY1,0.09600695
A1CF,RND2,0.1375739
A1CF,SCARA5,0.07994476
A1CF,SERPINE1,0.08254526
A1CF,SHANK2,0.09600695
A1CF,SHTN1,0.08025668
A1CF,SIX5,0.09600695
A1CF,SLC15A1,0.12923053
A1CF,SLC7A1,0.1043187
A1CF,SMYD4,0.14971969
A1CF,SNAPC4,0.08025668
A1CF,SRBD1,0.12684889
A1CF,STAG3,0.1191461
A1CF,SYP,0.09219639
A1CF,TACC2,0.08590221
A1CF,TCN2,0.15795847
A1CF,TLR4,0.23486881
A1CF,TMEM170B,0.12514037
A1CF,TMEM25,0.07994476
A1CF,TMEM53,0.12217771
A1CF,TRPS1,0.1375739
A1CF,TSC22D1,0.08254276
A1CF,VSTM1,0.12217771
A1CF,WBSCR17,0.12252463
A1CF,ZFYVE27,0.09219639
A1CF,ZNF260,0.14197354
A1CF,ZNF33A,0.16727492
A1CF,ZNF436,0.16873057
A1CF,ZNF469,0.08595599
A1CF,ZNF512,0.11751387
A1CF,ZNF516,0.09057609
A1CF,ZNF560,0.07847439
A1CF,ZNF71,0.12492348
ABCA5,A1CF,0.11751387
ABCA5,ABCB8,0.1043187
ABCA5,ABCC8,0.1043187
ABCA5,ABHD17C,0.08815181
ABCA5,ACKR3,0.08595599
ABCA5,ACTBL2,0.11041635
ABCA5,ACVR2B,0.19680787
ABCA5,AFDN,0.1375739
ABCA5,AKAP1,0.09219639
ABCA5,ANKRD44,0.19670927
ABCA5,AP3B2,0.1260778
ABCA5,APBB2,0.1191461
ABCA5,APOL3,0.13817238
ABCA5,ATN1,0.12866719
ABCA5,B4GALT1,0.23486881
ABCA5,BCL7A,0.14197354
ABCA5,BTG2,0.1043187
ABCA5,C9orf72,0.14197354
ABCA5,CASTOR2,0.09600695
ABCA5,CBX6,0.1375739
ABCA5,CCDC90B,0.08595599
ABCA5,CCNJL,0.08595599
ABCA5,CD8A,0.15795847
ABCA5,CMTM4,0.19670927
ABCA5,COL3A1,0.09600695
ABCA5,COL7A1,0.08590221
ABCA5,CPEB3,0.11041635
ABCA5,DENND2D,0.1043187
ABCA5,DSCC1,0.15795847
ABCA5,DUSP2,0.09057609
ABCA5,EDAR,0.16727492
ABCA5,ENPP3,0.10344802
ABCA5,EPB41L3,0.12684889
ABCA5,EPHB1,0.08254276
ABCA5,ETF1,0.08815181
ABCA5,F3,0.09600695
ABCA5,FBXW2,0.17084997
ABCA5,FZD7,0.08590221
ABCA5,HAUS5,0.18293891
ABCA5,HLA-G,0.13817238
ABCA5,HOXC6,0.08590221
ABCA5,HYKK,0.12492348
ABCA5,INMT,0.12866719
ABCA5,INPP5D,0.1375739
