Interactie,Interactors,MI
A1CF,ACKR3,0.09219639
A1CF,ACVR2B,0.23486881
A1CF,ADAMTSL1,0.21582629
A1CF,AFDN,0.1375739
A1CF,AKAP12,0.07994476
A1CF,AKT1S1,0.11751387
A1CF,AMOTL2,0.11751387
A1CF,AMT,0.08815181
A1CF,AMT,0.08254526
A1CF,ANKS1A,0.16727492
A1CF,APBB2,0.07994476
A1CF,APOL3,0.19680787
A1CF,ASB8,0.09600695
A1CF,BRF1,0.08254526
A1CF,C9orf72,0.19670927
A1CF,CAMK2A,0.15085087
A1CF,CD8A,0.15085087
A1CF,CD8A,0.12183497
A1CF,CDC20B,0.10576755
A1CF,CMTM4,0.08595599
A1CF,COL3A1,0.12684889
A1CF,CORO1A,0.12923053
A1CF,CPEB3,0.08025668
A1CF,CX3CL1,0.1260778
A1CF,CYFIP2,0.23486881
A1CF,DACT1,0.09057609
A1CF,DUSP2,0.10450354
A1CF,DUSP3,0.12492348
A1CF,EDC4,0.0921589
A1CF,EPAS1,0.12357774
A1CF,EPHB1,0.2061494
A1CF,ETF1,0.0921589
A1CF,FAM161B,0.11041635
A1CF,FBXW2,0.0921589
A1CF,FER,0.08590221
A1CF,GCNT1,0.08595599
A1CF,GLUD1,0.12492348
A1CF,HAUS5,0.21582629
A1CF,HES1,0.14574834
A1CF,HIVEP3,0.07994476
A1CF,HLA-G,0.09219639
A1CF,HOXB13,0.16873057
A1CF,KCNJ5,0.14197354
A1CF,KCNS3,0.11751387
A1CF,KCTD15,0.19670927
A1CF,KIF2C,0.10450354
A1CF,KIFC3,0.08254276
A1CF,KRTAP12-2,0.08254276
A1CF,LIF,0.08254276
A1CF,MTG2,0.12866719
A1CF,NAIP,0.12514037
A1CF,NIPAL4,0.17756414
A1CF,NUDT14,0.08815181
A1CF,NUDT6,0.07994476
A1CF,PDK1,0.12492348
A1CF,PIGA,0.08254276
A1CF,PLEKHA2,0.0921589
A1CF,PLEKHA6,0.07994476
A1CF,PPM1E,0.12217771
A1CF,PRICKLE2,0.08590221
A1CF,PXDC1,0.09600695
A1CF,RNF34,0.08025668
A1CF,SECTM1,0.07994476
A1CF,SERPINE1,0.23486881
A1CF,SH3GLB2,0.07847439
A1CF,SHTN1,0.12492348
A1CF,SIX1,0.12514037
A1CF,SLC15A1,0.08595599
A1CF,SLC34A1,0.11041635
A1CF,SLC7A1,0.15795847
A1CF,SMCO4,0.18778519
A1CF,SORBS1,0.08815181
A1CF,TACC2,0.12492348
A1CF,TCN2,0.22563548
A1CF,TLR4,0.08815181
A1CF,TMEM2,0.12357774
A1CF,TMEM25,0.09600695
A1CF,TNC,0.08025668
A1CF,TPD52,0.07994476
A1CF,TPP1,0.09057609
A1CF,TRIM10,0.10450354
A1CF,TSC22D1,0.1043187
A1CF,VWA5A,0.1043187
A1CF,WBSCR17,0.12183497
A1CF,WDR62,0.13790726
A1CF,WIZ,0.19670927
A1CF,ZFPM1,0.10148671
A1CF,ZFYVE27,0.08815181
A1CF,ZNF181,0.0921589
A1CF,ZNF33A,0.16873057
A1CF,ZNF385A,0.10344802
A1CF,ZNF469,0.07994476
A1CF,ZNF496,0.17084997
A1CF,ZNF560,0.07994476
ABCA5,ABCC8,0.22129466
ABCA5,ABCD4,0.22563548
ABCA5,ABHD17C,0.18293891
ABCA5,ACKR3,0.09219639
ABCA5,ACSS3,0.1375739
ABCA5,ACTBL2,0.12183497
ABCA5,AFDN,0.0921589
ABCA5,AKAP1,0.1260778
ABCA5,AKAP12,0.08254526
ABCA5,AMT,0.17084997
ABCA5,APBB2,0.08254526
ABCA5,APPL1,0.2541504
ABCA5,ARMC8,0.1375739
ABCA5,ASB8,0.0921589
ABCA5,ATN1,0.14574834
ABCA5,BTG2,0.08590221
ABCA5,CASTOR2,0.23486881
ABCA5,CBX6,0.08025668
ABCA5,CCDC90B,0.2061494
ABCA5,CD28,0.21582629
ABCA5,CD8A,0.08815181
ABCA5,CD8A,0.12866719
ABCA5,CDC20B,0.19670927
ABCA5,CLEC5A,0.23486881
ABCA5,CMTM4,0.11041635
ABCA5,COL3A1,0.12923053
ABCA5,CORO1A,0.09907827
ABCA5,CRLS1,0.16873057
ABCA5,CTXN1,0.11041635
ABCA5,CX3CL1,0.09057609
ABCA5,DCDC2,0.19670927
ABCA5,DENND2D,0.1260778
ABCA5,DRD3,0.23486881
ABCA5,DSCC1,0.1260778
ABCA5,DUSP3,0.14971969
ABCA5,DUSP6,0.19670927
ABCA5,EDAR,0.14574834
ABCA5,ENPP3,0.08254276
ABCA5,EPAS1,0.17084997
ABCA5,EPB41L3,0.11751387
ABCA5,EPM2AIP1,0.1375739
ABCA5,EQTN,0.1375739
ABCA5,FAM161B,0.14197354
ABCA5,FAM170A,0.08025668
ABCA5,GCNT1,0.11041635
ABCA5,GLUD1,0.14971969
ABCA5,GOLGA7B,0.09600695
ABCA5,HIVEP3,0.17084997
ABCA5,HLA-G,0.12866719
ABCA5,HOXC6,0.07847439
ABCA5,HYOU1,0.12492348
ABCA5,ID1,0.12684889
ABCA5,INPP5D,0.22129466
ABCA5,IP6K1,0.2541504
ABCA5,KCNJ5,0.1191461
ABCA5,KCNS3,0.09057609
ABCA5,KIAA0586,0.23486881
ABCA5,KIF2C,0.09219639
ABCA5,KLHL26,0.1260778
ABCA5,KRTAP12-2,0.16727492
ABCA5,LCMT2,0.07847439
ABCA5,LIF,0.16727492
ABCA5,MAFG,0.20199846
ABCA5,MYO10,0.2061494
ABCA5,NAIP,0.08595599
ABCA5,NIPAL4,0.10450354
ABCA5,NNT,0.14971969
ABCA5,NUDT14,0.18778519
ABCA5,NUDT6,0.17084997
ABCA5,P2RX2,0.2541504
ABCA5,PDK1,0.14971969
ABCA5,PIGA,0.08590221
ABCA5,PLEKHA6,0.08254526
ABCA5,PMEPA1,0.18293891
ABCA5,PSPC1,0.12252463
ABCA5,PXDC1,0.0921589
ABCA5,RCHY1,0.09600695
ABCA5,RELL2,0.12684889
ABCA5,RESP18,0.23486881
ABCA5,RNF34,0.15085087
ABCA5,SAV1,0.17084997
ABCA5,SCARA5,0.08254276
ABCA5,SECTM1,0.17084997
ABCA5,SH3GLB2,0.13790726
ABCA5,SHANK2,0.12923053
ABCA5,SHPRH,0.09600695
ABCA5,SHTN1,0.14971969
ABCA5,SIX1,0.08595599
ABCA5,SIX5,0.17084997
ABCA5,SLC15A1,0.13817238
ABCA5,SLC30A1,0.16873057
ABCA5,SLC34A1,0.14197354
ABCA5,SMYD4,0.19670927
ABCA5,SNAPC4,0.19670927
ABCA5,SNAPC4,0.17756414
ABCA5,SORBS1,0.20199846
ABCA5,SORBS1,0.18778519
ABCA5,SPEN,0.23486881
ABCA5,SRBD1,0.07994476
ABCA5,TACC2,0.15085087
ABCA5,TLR4,0.08254526
ABCA5,TMEM2,0.17084997
ABCA5,TMEM53,0.12684889
ABCA5,TNC,0.15085087
ABCA5,TRIM10,0.13817238
ABCA5,TRPS1,0.20199846
ABCA5,TRUB1,0.10148671
ABCA5,TSC22D1,0.17756414
ABCA5,VSTM1,0.2061494
ABCA5,VWA5A,0.14197354
ABCA5,WBSCR17,0.12866719
ABCA5,XPO1,0.20199846
ABCA5,ZFYVE27,0.16727492
ABCA5,ZNF181,0.12514037
ABCA5,ZNF260,0.20199846
ABCA5,ZNF385A,0.14197354
ABCA5,ZNF436,0.08254276
ABCA5,ZNF469,0.17084997
ABCA5,ZNF516,0.15085087
ABCA5,ZNF560,0.08254526
ABCB8,ABCD4,0.10148671
ABCB8,ADAMTSL1,0.09057609
ABCB8,ADM,0.12252463
ABCB8,AKAP1,0.14574834
ABCB8,AKAP12,0.14197354
ABCB8,AKT1S1,0.08595599
ABCB8,AMOTL2,0.22563548
ABCB8,ANKRD36B,0.09907827
ABCB8,ANKRD44,0.08254526
ABCB8,APBB2,0.14197354
ABCB8,CBX6,0.2061494
ABCB8,CCDC90B,0.10450354
ABCB8,CD8A,0.09219639
ABCB8,COL3A1,0.08254526
ABCB8,COLCA1,0.14574834
ABCB8,CPEB3,0.12514037
ABCB8,CRLS1,0.07847439
ABCB8,CTXN1,0.12183497
ABCB8,CX3CL1,0.07994476
ABCB8,DACT1,0.15795847
ABCB8,DCDC2,0.12252463
ABCB8,DENND2D,0.07994476
ABCB8,DUSP2,0.15085087
ABCB8,EDAR,0.1375739
ABCB8,EPM2AIP1,0.12217771
ABCB8,F3,0.10450354
ABCB8,FZD7,0.22129466
ABCB8,GMFG,0.1375739
ABCB8,HAUS5,0.09057609
ABCB8,HES1,0.0921589
ABCB8,HES1,0.17756414
