ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.5329155544	3.0697270072	2.6127470106	2.8418068005	2.5882353437	2.8112261322
11736238_a_at	ABCA5	4.4572937443	4.3735733612	4.641539319	4.747364596	4.5686049173	4.6096771582
11724734_at	ABCB8	3.1380040019	3.125788795	3.1802241049	2.9792052187	2.858514454	3.082120437
11723976_at	ABCC8	3.6415307183	3.1471785654	3.3885085855	3.3576522265	3.3727406428	3.3855337908
11718612_a_at	ABCD4	4.9791016087	5.0612330088	4.9303944637	5.1060001208	5.1582315259	5.030071133
11758217_s_at	ABHD17C	7.9914971365	8.0148290679	8.0212216917	8.0037899136	8.11387028	8.0552417078
11744541_a_at	ACKR3	1.7785829136	2.2226053718	2.4003500826	2.6984074387	2.3146768164	2.5037064836
11730931_at	ACSS3	2.0820884071	2.1867513199	2.4651217775	2.4353204618	2.0181613529	2.4782414259
11738454_at	ACTBL2	2.7779769126	2.8731669035	2.7010919158	2.3499364071	2.3585787132	2.4595352854
11727682_at	ACVR2B	3.4923301728	3.7445454263	3.7485283836	3.9444728102	3.8985896918	3.9589229346
11733762_a_at	ADAMTSL1	2.9931832109	3.1568041774	3.29876143	3.0885750353	3.1131467731	2.9924957366
11756406_x_at	ADM	11.0292067076	10.9949315192	11.0744782925	11.1050411865	11.1057403765	11.1395589393
11743232_a_at	AFDN	2.2982574027	2.5781714364	2.585262785	2.4991275493	2.491355534	2.4881329646
11743984_a_at	AKAP1	4.4393836323	4.4161877223	4.4790140723	4.373286031	4.3540593882	4.6388177407
11723804_a_at	AKAP12	8.4020888658	8.3314633412	8.3510899329	8.3738237133	8.444293284	8.3914924205
11716720_a_at	AKT1S1	4.1730215353	4.1560304525	4.260004196	4.0843700647	4.1598633542	4.269113347
11733006_at	AMOTL2	4.8627241085	4.9135763885	4.9573432989	4.9992406156	5.0703182704	5.1300620529
11719576_s_at	AMT	3.068161186	2.8158505667	3.266433378	3.0214605032	2.8850373725	2.9300147031
11719577_a_at	AMT	4.4153594565	4.4925906035	4.4348198228	4.0209152855	4.2173263319	4.0385640542
11755899_x_at	ANKRD36B	4.2675745468	4.0066922157	4.1630318896	4.0629574623	4.2647487305	4.2609712851
11755987_a_at	ANKRD44	2.3120905976	2.429879239	2.3071090979	2.3470064244	2.5048715174	2.3811042156
11756425_a_at	ANKS1A	3.6661723418	3.9278083655	3.3084956616	2.9650690497	3.2712543464	3.4740372252
11727683_a_at	AP3B2	2.1651659202	1.9388604691	2.246869336	2.1810012207	1.9479622965	2.439706535
11734819_s_at	APBB2	5.6190255646	5.0761828358	5.7418094845	5.4871184797	5.6221450911	5.6878940696
11723975_x_at	APOL3	4.403617875	4.2785804723	4.3850878133	4.1442587876	4.3798790486	4.3545206859
11722736_s_at	APPL1	6.2555980622	6.1126285701	6.4152016984	6.5680000906	6.0864033164	6.2731042438
11733928_a_at	ARMC8	4.0558947241	4.2651997024	4.1936837718	4.124717156	4.0470748864	4.1581327054
11751585_a_at	ASB8	6.4197092522	6.5635228295	6.592922103	6.6966758839	6.5929609578	6.4860085492
11716966_a_at	ATN1	3.4776089191	3.1225035882	3.6763109605	3.6866159435	3.537000355	3.6582774222
11716154_x_at	B4GALT1	4.9604079263	4.8341316896	4.6952142539	4.3609253675	5.009822171	4.7600804861
11753657_a_at	BACE1	4.4145356471	3.3329302106	4.0802398149	4.2749295809	4.1516878684	4.4718184382
11719907_a_at	BCL7A	3.0790109127	3.0965383456	3.2880742094	3.3406106118	2.9751659179	2.9061585099
11753436_a_at	BRF1	3.4509603518	3.4532170818	3.280631691	3.4596393727	3.4002663694	3.4057059641
11715613_a_at	BTG2	3.2836890694	3.0058138959	3.2896266141	3.5791775325	3.4206706102	3.3676886142
11720531_at	C9orf72	4.1745337953	4.5257793206	4.4781898522	4.2210479407	4.5465435549	4.3240115476
11725936_a_at	CAMK2A	2.3139170191	2.4666776082	2.2620285641	2.4411320553	2.1082857598	2.1928428087
11758321_s_at	CASTOR2	3.2774684382	2.7163538569	3.1408512416	3.0078702589	2.8706802709	2.8661583659
11720081_a_at	CBX6	3.6168024307	3.4143595614	3.0209892914	2.7390883808	3.2792010717	2.9258866632
11744695_a_at	CCDC90B	8.1713533205	7.9145459165	8.32213109	8.1144286478	8.0731386542	8.1911910952
11748789_a_at	CCNJL	3.1198432169	3.0889971595	3.1230141378	2.8954394816	2.964572601	3.0726024173
11733978_a_at	CD28	2.2231278253	2.3079878181	2.1231627621	2.0542136136	2.2527447615	2.1998716434
11724728_a_at	CD8A	2.5632694131	2.946168432	2.734549873	2.3030642752	2.3926011557	2.8927579163
11724729_a_at	CD8A	2.4154577221	2.6509273286	2.5085584749	2.4186494542	2.4865894266	2.4389012261
11742224_a_at	CDC20B	2.4811120466	2.6451555741	2.4457861318	2.4530342809	2.503959971	2.373777997
11756837_a_at	CLEC5A	2.1312187515	2.4896434776	2.442169852	2.3733047908	2.0710323129	2.3081363624
11718178_a_at	CMTM4	6.0210764691	6.0736918896	5.872016884	6.0512372537	5.9169170059	5.8629366436
11715414_x_at	COL3A1	8.1826522678	7.6323640262	8.2253719959	8.164538387	7.8119711196	8.0283345248
11721705_at	COL7A1	8.244915708	8.2264323394	8.1145820903	8.104800445	8.1733743096	8.1024607979
11758474_s_at	COLCA1	1.9971208736	2.563996152	2.0453034652	2.1247351462	2.0709293269	2.2662629986
11754666_a_at	CORO1A	4.7838331021	5.0989537123	4.5815750338	4.6567372531	4.7197155353	4.6949715768
11740000_a_at	CPEB3	4.0089878578	3.5756290426	3.8878002718	4.4863233321	4.0440775298	4.1410188921
11726336_a_at	CRLS1	3.2765739536	2.8580304844	3.0427696533	3.2922914742	3.2712433785	3.1976934691
11743745_a_at	CSPP1	4.8131248896	4.4981385375	4.4950034655	4.7445665164	4.4552730718	4.617383302
11723137_at	CTXN1	3.2690154982	3.6943584918	3.5111717071	3.2972071198	2.9294150239	3.3713497444
11734551_a_at	CX3CL1	3.0968230219	3.16376335	3.2463999667	3.2526186568	3.0806179448	3.2655234908
11733003_a_at	CXCR1	2.5298511516	2.6968743235	2.4410062648	2.7322044793	2.6153293667	2.3433166914
11755109_a_at	CYFIP2	4.8546646329	4.7290828776	4.7998827175	4.584004176	4.860294281	4.8285003113
11735386_a_at	DACT1	3.4847087259	3.0518158569	3.6152042084	3.3591796634	3.2202031375	3.34504203
11729039_at	DCDC2	2.5299875811	2.873828579	2.6388098107	2.3576720363	2.4314429034	2.4757975248
11755291_a_at	DENND2D	2.8609411271	2.9836404191	3.0747948177	3.3878479487	3.9667812317	3.7197133907
11744701_a_at	DRD3	2.5907825371	3.4892055636	2.6127470106	2.8510293858	2.7465488406	2.7946617367
11728731_s_at	DSCC1	5.3053459268	5.5422617608	5.3834684981	5.7097221611	5.724823378	5.4758614297
11721695_s_at	DUSP2	6.0277745744	5.9524700654	6.0328489723	5.896652711	5.7763826003	5.8547572097
11753617_a_at	DUSP3	5.6596547894	5.4446000151	5.8423953776	5.512919013	5.7037021867	5.8859777586
11722049_a_at	DUSP6	7.5155188176	7.5763893598	7.6779794602	7.7600408248	7.6003522928	7.7601679544
11751007_a_at	EDAR	2.747194357	2.4105382025	2.5076673819	2.48288091	2.5338716576	2.4803337848
11748584_a_at	EDC4	4.1402200329	3.7861044108	3.9312712161	3.9072997355	4.1688204625	4.0415670449
11724667_s_at	ENPP3	2.2850082309	2.1430037638	2.2386363596	2.463103906	2.1564995467	2.3895561755
11715412_a_at	EPAS1	5.3167963975	4.9631348034	5.3455959327	5.1830547313	5.069671761	5.5246866529
11727143_x_at	EPB41L3	5.5270486681	5.046412346	5.1272683258	5.3198400723	5.3889815785	5.5146154243
11727657_at	EPHB1	2.7766862518	2.9740245903	2.8914396977	2.9272910936	3.0711407293	3.0784914689
11725354_at	EPM2AIP1	5.2526877019	4.8957142724	5.1644529787	4.9509885761	5.311064244	5.1390497892
11725353_at	EPM2AIP1	4.8038647644	4.614369459	4.8279718911	4.7537720103	4.7086217941	4.7058688979
11748581_a_at	EQTN	1.9022567671	2.2350675282	2.1265212741	1.9377085201	2.0673912393	1.951321182
11721445_x_at	ERBB3	3.1850897474	3.1921581905	3.4590881548	3.3741505464	3.6401015245	3.1374669665
11721450_x_at	ETF1	8.003663514	8.0593034341	7.8508683303	7.9794600993	7.9310233782	7.8767482588
11755733_a_at	F3	9.0182553972	9.2617124671	9.1823448457	9.1405532548	9.2039363843	9.1103551589
11740597_a_at	FAM161B	2.6108461192	2.4537757886	2.843036795	2.6676871362	2.8381672706	2.4717072982
11741992_a_at	FAM170A	2.7580389849	2.7903542854	2.5162267786	2.6230059061	2.6202738217	2.567061923
11732535_a_at	FANCD2	5.3798690766	5.4461611209	5.1941055819	5.0472761429	5.2122244182	5.3900109158
11725160_at	FBXW2	4.8692164828	4.8849738199	5.0986059553	5.0411101225	5.1854233721	5.141994706
11751770_a_at	FER	4.6851677277	4.616077253	4.6059270147	4.7767321717	4.7132906893	4.9004562218
11725155_at	FJX1	6.0106245601	6.0283696642	5.9599736415	6.1143825696	6.0809014823	6.1771478329
11721751_s_at	FZD7	10.151235121	10.0145710178	10.0105075328	10.0559120652	10.012139853	10.047986421
11735271_a_at	GCNT1	7.1848877826	7.3563269967	7.3825818704	7.3321758426	7.1536247914	7.2293482543
11716208_s_at	GLUD1	6.8812756233	6.7040716515	6.8326695103	6.9041534613	6.8690325834	6.5448778489
11717760_a_at	GMFG	2.6724758443	2.6460260694	2.7078039883	3.1063019284	2.8043779627	2.8509515289
11725499_at	GOLGA7B	2.3265578973	2.9683350746	2.7241261243	2.5332545409	2.484631318	2.4318265798
11733977_a_at	HAUS5	4.7019673785	4.6799079501	4.9436144884	4.7858314266	4.8548530736	5.0558863398
11716551_s_at	HES1	5.3758711371	5.1248423339	5.4261953612	5.26493408	5.3849030686	5.4553997943
11716550_at	HES1	5.3955754005	5.1869826536	5.2487434469	5.3162284886	5.317278522	5.3751124312
11741604_x_at	HIVEP3	5.185204982	5.0595949309	5.1098302859	5.3552132216	4.8088287543	5.0072671926
11753417_x_at	HLA-G	2.9067493049	3.4467632123	2.8400941683	2.7434717606	2.6530003166	2.8519411486
11727052_at	HOXB13	2.5592408504	2.6616023123	2.6049169905	2.334721227	2.6072713131	2.5697931286
11737135_a_at	HOXC6	7.6246792578	7.9365128404	7.7699771273	7.7051160005	7.629453792	7.6101681868
11729074_a_at	HYKK	3.5034200939	3.5003814262	3.1629946566	3.2774622012	3.5489084715	3.6606504778
11716006_a_at	HYOU1	4.5738800669	4.644989946	4.7367455465	4.6931434148	4.7129327278	4.8001335535
11741590_x_at	ICAM4	3.2802990061	3.4908657903	3.0039869303	3.5048129614	3.2554941822	2.8936292767
11716195_a_at	ID1	9.9759329216	9.8921752096	9.9760844725	9.8731908699	9.8820591354	9.9353442382
11720749_a_at	INMT	2.4759816605	2.6141466899	2.3532074496	2.3848397659	2.6855927984	2.3560516914
11744364_s_at	INPP5D	2.225934266	2.3874506715	2.4016663778	2.7321555604	2.5395928362	2.2502587768
11741385_a_at	IP6K1	6.4832560877	6.6520567982	6.5840252443	6.4273127024	6.6112620225	6.5114313684
11757762_s_at	IPPK	6.0268148144	6.1189236784	5.9099864845	6.0897475823	6.1263391548	5.8687117149
11720529_at	JAZF1	5.0026540827	5.0636613027	5.094413809	5.0300566082	5.1661359544	5.2621778399
11752646_a_at	KCNJ5	2.3013007525	2.2672468321	2.4420295018	2.4848112464	2.7922134751	2.4326553251
11722918_a_at	KCNS3	3.6898726925	3.4488324769	3.6131798394	3.7530881554	3.8570422259	3.4381434511
11758536_s_at	KCTD15	6.7366627676	6.6897294938	7.0321475728	7.0048590546	6.8361042919	6.6533737336
11747909_x_at	KDM4B	3.4733894887	3.3532042375	3.4470545121	3.3714087091	3.5397674348	3.4280086068
11743524_a_at	KDM5A	4.6909652742	4.6074545675	5.0735830418	4.5835040352	4.7957308243	4.9105245815
11746605_a_at	KIAA0586	5.4417836954	5.3363853432	5.3159776336	5.3626677137	5.4723864944	5.2401248717
11725351_x_at	KIAA0930	4.5915520243	4.6130167486	4.7215882213	4.7018124492	4.6800229267	4.3621513909
11729623_a_at	KIF2C	8.5762001243	8.6241330325	8.4034910481	8.5077402472	8.6163265657	8.5222032685
11717703_a_at	KIFC3	7.8876373534	8.0503463081	7.8675771035	7.9883052112	7.8664128462	7.900202417
11727144_a_at	KLF11	4.3115488694	4.2097362784	4.2180484433	4.2326608242	4.2180527541	4.1145872211
11755288_a_at	KLHL26	2.7769481108	2.6389940742	2.7439101742	2.7000320596	2.7707932653	2.6171483064
11743695_at	KMT2D	3.9092742303	3.9625172018	3.8201513503	4.0611864372	3.9491506249	4.0967122275
11742006_at	KRTAP12-2	3.5180230134	3.284463311	3.1285774504	3.0687007232	3.3093649477	2.8693091114
11749566_s_at	LCMT2	4.7431279952	4.3172040924	4.6853369668	4.9801117215	4.9914120218	4.766212935
11749626_a_at	LDB3	3.2913781748	2.5890354236	2.6320835603	2.8525022868	2.9290904723	2.9535942717
11726498_at	LIF	3.1438243801	3.3105629071	3.1075375954	3.1984179025	3.0391331535	2.9551404927
11717133_a_at	MAFG	6.6241004095	6.8751793773	6.5548917561	6.4935002101	6.5863382496	6.3997788588
11746604_a_at	MTG2	5.2012069456	5.207384393	4.9944309929	5.0773732776	5.2726846411	5.0448836249
11759661_at	MYO10	5.9741969303	6.1150190797	6.1596524276	6.1908540232	6.1920569635	6.1889257908
11736899_x_at	NAIP	4.614836808	4.5732620123	4.3768569465	4.1349204279	4.3517962366	4.4247374572
11717211_a_at	NEO1	3.5539353932	2.8988115089	3.3855610945	3.322151628	3.3100137878	3.584040216
11752740_a_at	NIPAL4	2.4154088667	2.3242179597	2.6169836641	2.3506505293	2.2496446626	2.6008365824
11728135_at	NIPAL4	3.9813075211	3.9956370268	4.3911291589	4.0199203484	4.1317437974	4.1062465684
11743517_a_at	NNT	6.9885181462	6.9618344633	7.0979715197	7.0219159239	6.9146186331	6.8211341891
11726340_a_at	NUDT14	4.0737748038	4.1633089238	3.8878002718	4.409728188	4.2496626315	4.1574573195
11725590_a_at	NUDT6	4.222342475	4.6206755515	4.7483446262	4.438018312	4.3742139643	4.8137895413
11741989_a_at	P2RX2	2.0858469045	2.6386082993	2.3096093348	2.38531756	2.1474311361	2.1790432705
11720561_x_at	PARP2	7.6791555642	7.6056186984	7.5842898503	7.6129002208	7.6196745376	7.7162068399
11733981_a_at	PDK1	7.7662193929	7.6639241502	7.7826007261	7.8377024532	7.7199496974	7.7879004034
11752855_x_at	PIGA	3.2038990348	2.998347341	3.4039440675	2.9121506953	3.1603607501	3.2936995408
11750161_a_at	PLEKHA2	5.4036361334	5.6452052049	5.4585742442	5.3110276389	5.4996749782	5.4601109057
11723175_at	PLEKHA6	2.5803024913	2.7090016826	2.7606505978	2.6621706358	2.5931196219	3.1955248665
11716151_a_at	PMEPA1	5.5978731787	5.7279760845	5.888689215	5.7981595064	5.45534112	5.5342688876
11716150_a_at	PMEPA1	4.271893821	4.3328669354	4.3401845249	4.202808929	4.5003398443	4.4832728421
11733002_s_at	PMM2	6.1497013535	6.0115377586	6.1861881052	6.1387375392	6.0943656936	6.2402930127
11731187_at	PPM1E	2.7414946184	2.8963130795	2.905395753	2.8434032518	3.0484533038	2.882267869
11721987_s_at	PRICKLE2	5.6403187358	5.6710310969	5.7915650608	5.5960141398	5.4383456064	5.8147807274
11725028_s_at	PSPC1	7.7793091617	7.474574523	7.5589376341	7.6492191193	7.7614656478	7.7014132466
11754483_a_at	PXDC1	8.086201817	8.0645132977	8.183519064	8.1936219333	8.1202350611	8.0268684115
11723977_at	RAB3A	3.3270103813	3.7276410323	3.6296116074	3.2507404436	3.5365788496	3.1020544909
11719570_at	RCHY1	4.2795920356	4.3646376469	4.5213040206	4.4307525498	4.2396163727	4.5629661366
11758159_a_at	RELL2	4.6119874835	4.2528020766	3.8421523179	3.8520948358	4.2045276781	4.0865625711
11735892_a_at	RESP18	2.4234444146	2.2191118795	2.2170958884	2.1860673259	2.0470663379	2.2526465929
11724854_at	RND2	3.4411354345	3.2212705176	3.1812735412	3.3891187076	3.6926957794	3.5316865087
11717384_a_at	RNF34	7.8881360548	7.9047922283	7.7623673559	7.8178009507	7.8920225783	7.8895059306
11758352_at	RRNAD1	3.7907776059	3.8211837887	3.5428781478	3.6907134549	3.2748773806	3.4075148855
11749806_a_at	SAV1	7.3046678551	7.3497778056	7.362390135	7.5352509535	7.4448207981	7.3153547169
11753239_a_at	SCARA5	2.7798039615	2.9313665461	2.6966998219	2.6798167865	2.9508290372	2.708394173
11739527_a_at	SECTM1	4.6269168147	4.9623866044	4.5755988847	4.9835541283	4.1516220272	4.4288872679
11715636_a_at	SERPINE1	10.9781587449	11.0114622457	10.9557246306	11.0678808428	11.0413589078	11.0298350911
11743983_x_at	SH3GLB2	4.9570912295	5.3782145131	5.1267407206	4.6161940063	5.239237979	4.8361321209
11734020_a_at	SHANK2	4.092456381	3.7223716837	3.7876063609	4.2114779546	3.9559281063	4.207236036
11722755_a_at	SHPRH	2.7103330573	2.7906270821	2.8001100676	2.9853156665	3.4675898002	3.1419670701
11750307_a_at	SHTN1	3.6147092186	3.5436654048	3.7867283203	3.5634898346	3.412369195	3.320458406
11758110_s_at	SIX1	5.6970786033	5.7685954619	5.671677363	5.5795212039	5.4091840111	5.6609036293
11728386_x_at	SIX5	5.4313269294	5.3804201418	5.3230138711	5.0959090859	5.4350025928	5.280769072
11735143_at	SLC15A1	2.6195253563	2.5852013267	2.5202356786	2.539371722	2.8175924971	2.8137456793
11726006_at	SLC30A1	6.2418384124	6.142503741	6.178090803	6.0593662841	6.0621833334	6.2102342081
11760532_a_at	SLC34A1	3.048852253	3.0767464578	3.073412743	2.8156784551	3.6376128048	3.0492821107
11722414_at	SLC7A1	3.5550156378	3.3739054634	3.6772760957	3.662282368	3.7529998106	3.7337682451
11723561_x_at	SMCO4	5.6177659703	5.818398489	5.7108644641	5.8450916982	5.7350487424	5.8322179403
