ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.842879732	2.8511242708	2.6645249084	2.6110085126	2.6181037065	2.6526377213
11736238_a_at	ABCA5	4.5242661824	4.7406947714	4.630587335	4.9301782378	4.7695289859	4.8334932566
11724734_at	ABCB8	2.9828603974	2.812698515	3.5998722304	3.0753553688	3.0680437748	2.9754808564
11723976_at	ABCC8	3.2727946153	3.1486035448	3.5910107393	3.3004705609	3.4180705526	3.2102496487
11718612_a_at	ABCD4	5.0753735125	5.1295347168	5.1354647882	4.8904025219	5.1585004867	5.1414505237
11758217_s_at	ABHD17C	8.0240451557	7.9886094562	7.9648032778	7.9948333832	8.0990354717	8.0177516449
11744541_a_at	ACKR3	2.4885892062	2.6656486883	2.346991418	2.2818951566	2.4164018411	2.5196621657
11730931_at	ACSS3	2.2471883523	2.3742408839	2.4471451597	2.2847663662	2.0498455708	2.277672089
11738454_at	ACTBL2	2.2896959571	2.536660411	2.8959110246	2.3028770676	2.4625557495	2.3054905869
11727682_at	ACVR2B	4.1093434453	3.7014743146	3.9022404206	3.7150056605	3.7305208131	3.7864400709
11733762_a_at	ADAMTSL1	3.1344757473	2.8447790973	2.7031670774	3.0930513246	2.9993021366	3.1583173513
11756406_x_at	ADM	11.0300890776	11.0894217826	10.9900053429	10.9826677355	11.144972653	11.0810228514
11743232_a_at	AFDN	2.5238677408	2.6580725551	2.5906129264	2.6298411942	2.7682384014	2.4904050764
11743984_a_at	AKAP1	4.538974128	4.3020232371	4.0709663729	4.6698428388	4.3933148639	4.4619291708
11723804_a_at	AKAP12	8.4614080084	8.5229372604	8.3280517783	8.459333053	8.3955223592	8.2433607867
11716720_a_at	AKT1S1	4.321028953	3.9562131227	4.27895617	3.9554025873	4.2248927832	3.813835322
11733006_at	AMOTL2	4.6809253266	5.0674262376	5.111035089	5.2567427042	4.791319386	4.6555592052
11719576_s_at	AMT	3.6698839503	3.2074950668	3.0548412296	3.099415548	3.3252405606	3.2580293081
11719577_a_at	AMT	3.8693752589	4.5833593054	4.3504288773	3.9337235823	4.165825875	4.2327780523
11755899_x_at	ANKRD36B	4.077904031	4.4693988962	4.4203351321	4.0791535512	3.9847604445	4.108351495
11755987_a_at	ANKRD44	2.3054850187	2.2421552469	2.2554210996	2.1835013663	2.4634805816	2.205455957
11756425_a_at	ANKS1A	3.2850163275	3.6550479423	3.366217872	3.6046905819	3.3913315573	3.463304798
11727683_a_at	AP3B2	2.4373952976	2.0190487056	2.3399786795	2.3492570732	2.0900822227	2.0400629392
11734819_s_at	APBB2	5.6141375617	5.6151239435	5.48148986	5.7394630781	5.5379940363	5.525816392
11723975_x_at	APOL3	4.1719139731	4.3188033858	4.2796313607	4.3270639512	4.1791117832	4.0756687886
11722736_s_at	APPL1	6.3275730111	6.3985972402	5.7486778415	6.0851987561	6.1588087062	6.2885202673
11733928_a_at	ARMC8	3.8532993509	4.1707480194	3.9703452225	3.9215326882	4.0733350869	3.9656957058
11751585_a_at	ASB8	6.5409252564	6.4760800728	6.4848700588	6.5721657076	6.4275748532	6.3698238771
11716966_a_at	ATN1	3.7518661045	3.6386801601	3.95731877	3.3872920132	3.6701797536	3.6447611547
11716154_x_at	B4GALT1	5.3284071092	5.1574359741	5.2458089222	4.8196013661	5.2135373251	5.3487555572
11753657_a_at	BACE1	4.2614537729	3.769900904	4.3093496086	4.2442069294	3.9462505675	3.8719554693
11719907_a_at	BCL7A	3.0274647581	3.2246602636	3.1002891695	3.2091262438	3.2084153105	3.2233165954
11753436_a_at	BRF1	3.5791204024	3.4500931446	3.9400176905	3.4047179564	3.2427277967	3.4345355663
11715613_a_at	BTG2	3.1584350922	3.3704376286	3.3783187385	3.1501566332	3.3686520003	3.208325763
11720531_at	C9orf72	4.1661254866	4.2641707648	4.2027783833	4.2759729025	4.4083324947	4.3648223819
11725936_a_at	CAMK2A	2.1783548452	2.2869600525	2.7484279331	2.3915027642	2.4892411994	2.6629714699
11758321_s_at	CASTOR2	3.2031183932	3.0981975253	3.6289975644	3.0508016776	3.0788409102	2.8617263687
11720081_a_at	CBX6	3.3001399315	3.1916113784	2.9838134291	3.9146259015	3.0599153017	3.0932869678
11744695_a_at	CCDC90B	8.1283711614	8.2329886723	7.8512959551	8.0252224067	7.9264032358	8.1221703734
11748789_a_at	CCNJL	3.0822253279	2.9860964956	2.7925232491	2.8767117699	3.0764185489	3.2767468637
11733978_a_at	CD28	2.2273580757	2.0380966395	2.2868559533	2.1874077052	2.1948485748	2.0549892536
11724728_a_at	CD8A	2.6079475303	2.604909203	2.2946227901	2.4762653342	2.4141699968	2.5451031322
11724729_a_at	CD8A	2.3531064203	2.4295375255	2.3765193791	2.1625605647	2.3455163322	2.7468173927
11742224_a_at	CDC20B	2.3703788628	2.6417740114	2.5014441501	2.4128518816	2.3895509439	2.2969965979
11756837_a_at	CLEC5A	2.35847079	2.1722041174	2.4435019961	2.3650133274	2.3882141026	2.3225447252
11718178_a_at	CMTM4	5.8237243012	6.0191248768	6.1832001854	5.990331218	6.0493564496	6.245030441
11715414_x_at	COL3A1	8.1529154104	8.160376244	7.7518166398	8.1431986376	7.8978005728	8.1155820656
11721705_at	COL7A1	8.1281633371	8.0462075862	8.2374793844	8.1796723995	8.0071514726	8.1880459101
11758474_s_at	COLCA1	2.4156172341	2.2509584752	1.8722722665	2.0711471418	2.2534630255	2.2808015967
11754666_a_at	CORO1A	4.5903044727	4.4153349397	5.3528110219	4.8312731121	4.5297316349	4.6589369723
11740000_a_at	CPEB3	3.8846091045	3.7789424017	3.935048019	4.0634207772	3.6727202086	4.3813647885
11726336_a_at	CRLS1	3.1939424943	3.1151968427	2.7194754093	3.002371886	3.2405961582	2.9192659489
11743745_a_at	CSPP1	4.461799111	4.5590325918	4.3430068297	4.4506758315	4.8647111843	4.58469371
11723137_at	CTXN1	3.3347465185	3.3484007097	3.3890482601	3.2651855963	3.0873306161	3.3652616906
11734551_a_at	CX3CL1	3.1158943794	2.8359847071	3.6878793393	2.822381982	3.1890621336	2.6428975015
11733003_a_at	CXCR1	2.0582901178	2.554985762	2.6291133646	2.6809314303	2.4749048571	2.4545855605
11755109_a_at	CYFIP2	4.6753587099	4.8019190443	4.5670798731	5.1285554541	4.9863493961	4.7780752155
11735386_a_at	DACT1	3.6083677255	3.5067915621	3.6741072803	3.4388072086	3.6886897775	3.8181763383
11729039_at	DCDC2	2.3852581813	2.4463606749	2.5943449687	2.4184957677	2.8084220102	2.2080823164
11755291_a_at	DENND2D	3.1637520541	3.3544591922	3.3430064087	3.4856904104	3.7670615674	3.382369351
11744701_a_at	DRD3	2.3358544602	2.5742037547	2.8521449958	2.8082883431	2.4794960422	2.6977733004
11728731_s_at	DSCC1	5.2169709217	5.5569323761	5.062152148	5.7280172814	5.5459612009	5.528214524
11721695_s_at	DUSP2	6.3193606572	6.2648312272	6.5300922652	6.5235761562	6.3013445939	6.3246894822
11753617_a_at	DUSP3	5.7242540953	5.7020164863	5.5401346722	5.6730393787	5.6468834064	5.6274877147
11722049_a_at	DUSP6	7.3651861673	7.3334407425	7.142480812	7.3222613414	7.4739952461	7.2892995608
