ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.5831112151	2.7642601876	2.5752767164	2.834834224	2.6754010533	2.4968956597
11736238_a_at	ABCA5	4.0754786726	4.5554237689	4.4399324382	4.2454374215	4.2787194154	4.273217549
11724734_at	ABCB8	2.7644813592	3.0097178833	3.0320222694	3.1067172397	3.1885058266	3.0540642081
11723976_at	ABCC8	3.4311877332	3.537230241	3.7432640334	3.7360846428	3.4013381087	3.2017134897
11718612_a_at	ABCD4	4.9132451902	4.5439365253	4.6373838201	4.5132639215	4.6927192001	4.6902864489
11758217_s_at	ABHD17C	7.5534922301	7.4829324605	7.2642919468	7.3792726894	7.477748857	7.5706665545
11744541_a_at	ACKR3	2.8228878965	2.7275558325	2.6490316371	2.5763399932	2.4312619703	2.5019289463
11730931_at	ACSS3	2.2691005925	2.2709991849	2.7050989108	2.3229520358	2.0748790162	2.0906310822
11738454_at	ACTBL2	2.3111433903	2.4967930645	2.3815208742	2.356455548	2.7443020223	2.4054523093
11727682_at	ACVR2B	3.3073466966	3.6774413416	3.0876171549	3.4646933899	3.1594186101	3.2996660237
11733762_a_at	ADAMTSL1	3.2976262418	3.0038220917	2.6835368669	2.6863335717	2.9764129589	2.9572703008
11756406_x_at	ADM	9.3069938935	9.416000509	9.1961309161	9.2416010727	9.2486565822	9.3456174505
11743232_a_at	AFDN	2.8278817256	2.8479986947	2.8004931873	2.5343933971	2.2607620844	2.6148203202
11743984_a_at	AKAP1	4.1670057369	4.3849676251	4.4056971485	4.2567037821	4.3777642721	4.210513987
11723804_a_at	AKAP12	9.0789218894	9.0039031907	8.9181018844	9.063507429	9.0127424328	9.1168904495
11716720_a_at	AKT1S1	4.1036698357	3.992028898	4.3299735359	3.9701872521	4.0503638796	3.5706855393
11733006_at	AMOTL2	4.3850643412	4.4227798059	4.0206646762	4.3791159031	4.2445045414	4.0357290494
11719576_s_at	AMT	3.2180484335	3.3914172782	2.884025078	2.9010324131	2.8336734661	3.2102709216
11719577_a_at	AMT	3.8885867765	4.1531042262	4.2589665705	4.2649652942	4.2546971283	4.1616448521
11755899_x_at	ANKRD36B	3.6366305217	3.4690042809	3.4444955968	3.9060538241	3.811527171	3.6293671653
11755987_a_at	ANKRD44	2.2110705148	2.3470959032	2.3023758335	2.3539438061	2.623245122	2.349117079
11756425_a_at	ANKS1A	3.3464444114	3.3775121012	3.3593461749	3.5635103241	3.2741466305	3.641281285
11727683_a_at	AP3B2	2.1775413977	2.1087346275	2.1005209173	2.3035141959	2.0878943003	2.2505353045
11734819_s_at	APBB2	6.4118902699	6.4344408159	6.2990424801	6.5555305475	6.4034692843	6.447007001
11723975_x_at	APOL3	4.2025380989	3.9500194671	4.0091262061	4.1185813697	4.0271185241	4.2035401233
11722736_s_at	APPL1	6.2956659743	5.9686432351	6.0602168319	6.1156933459	5.9090834637	5.9950896214
11733928_a_at	ARMC8	4.8763592004	4.4768385645	4.1797502547	4.2473179328	4.1371796629	4.3742929681
11751585_a_at	ASB8	6.0209471136	6.0925626366	5.9160724218	6.2506066313	6.0233061854	5.924644093
11716966_a_at	ATN1	3.406729026	3.2976047001	3.6431398267	3.8341859942	3.8831259738	3.269360341
11716154_x_at	B4GALT1	5.4282684331	5.2201778058	5.3289799239	5.0579579687	5.5206369	5.4545345137
11753657_a_at	BACE1	3.7263892074	3.8711071345	4.1099970549	4.5565665985	3.8377327149	3.9841965152
11719907_a_at	BCL7A	3.1861372203	3.7842295626	3.474833118	3.5587132453	3.7012218278	3.8334417527
11753436_a_at	BRF1	3.3615591741	3.1602963114	3.6709543684	3.4543770986	3.7597683772	3.4162264654
11715613_a_at	BTG2	2.8587364173	3.3636690123	3.4387423973	3.3834455222	3.092525233	3.2489897934
